Time–Die Zeit_Die Zeiten
Man–Der Man_Die Männer
Hand–Die Hand_Die Hände
Day–Der Tag_Die Tagen
Way–Der Weg_Die Wege
Eye–Das Auge_Die Augen
Thing–Das Ding_Die Dinge
Head–Der Kopf_Die Köpfe
Year–Das Jahr_Die Jahre
Room–Die Raum_Die Räume
Door–Die Tür_Die Türen
Woman–Die Frau_Die Frauen
Face–Das Gesicht_Die Gesichter
Mother–Die Mutter_Die Mütter
People–Das Volk_Die Völker
Night–Die Nacht_Die Nächte
House–Das Haus_Die Häuser
Father–Der Vater_Die Väter
Life–Das Leben_Die Leben
Back–Der Rücken_Die Rücken
Voice–Die Stimme_Die Stimmen
Girl–Das Mädchen_Die Mädchen
Place–Der Ort_Die Orte
Boy–Der Junge_Die Jungen
Car–Das Auto_Die Autos
Side–Die Seite_Die Seiten
Arm–Der Arm_Die Arme
Child–Das Kind_Die Kinder
Word–Das Wort_Die Worte
Moment–Der Moment_Die Momente
Hair–Das Haar_Die Haare
Foot–Der Fuß_Die Füße
Water–Das Wasser_Die Wasser
Light–Das Licht_Die Lichter
World–Die Welt_Die Welt
Name–Der Name_Die Namen
Friend–Der Freund_Die Freunde
Window–Das Fenster_Die Fenster
Body–Der Körper_Die Körper
Table–Der Tisch_Die Tabellen
Morning–Der Morgen_Die Morgen
Bed–Das Bett_Die Betten
Wall–Die Mauer_Die Wände
Street–Die Straße_Die Straßen
School–Die Schule_Die Schulen
Air–Die Luft_Die Lüfte
Floor–Der Boden_Die Böden
Hour–Die Stunde_Die Stunden
End–Das Ende_Die Enden
Family–Die Familie_Die Familien
Guy–Der Kerl_Die Kerle
Kind–Die Art_Die Arten
Minute–Die Minute_Die Minuten
Story–Die Geschichte_Die Geschichten
God–Der Gott_Die Götter
Week–Die Woche_Die Wochen
Work–Die Arbeit_Die Werke
Shoulder–Die Schulter_Die Schultern
Part–Der Teil_Die Teile
Mind–Der Geist_Die Gemüter
Book–Das Buch_Die Bücher
Finger–Der Finger_Die Finger
Mouth–Der Mund_Die Mündungen
Kid–Das Kind_Die Kinder
Glass–Das Glas_Die Brille
Tree–Der Baum_Die Bäume
Sound–Der Klang_Die Geräusche
Line–Die Linie_Die Linien
Wife–Die Ehefrau_Die Ehefrauen
Heart–Das Herz_Die Herzen
Money–Das Geld_Die Gelder
Phone–Das Telefon_Die Telefone
Look–Das Aussehen_Die Blicke
Leg–Das Bein_Die Beine
Chair–Der Stuhl_Die Stühle
Office–Das Büro_Die Büros
Brother–Der Bruder_Die Brüder
Question–Die Frage_Die Fragen
City–Die Stadt_Die Städte
Month–Der Monat_Die Monate
Baby–Das Baby_Die Babys
Home–Das Zuhause_Die Häuser
Dog–Der Hund_Die Hunde
Road–Die Straße_Die Straßen
Idea–Die Idee_Die Ideen
Kitchen–Die Küche_Die Küchen
Lot–Das Los_Die Lose
Son–Der Sohn_Die Söhne
Job–Der Beruf_Die Jobs
Paper–Das Papier_Die Papiere
Sister–Die Schwester_Die Schwestern
Smile–Das Lächeln_Die Lächeln
Point–Der Punkt_Die Punkte
Thought–Der Gedanke_Die Gedanken
Love–Die Liebe_Die Liebe
Town–Die Stadt_Die Städte
Death–Der Tod_Die Todesfälle
Ground–Der Boden_Die Gründe
Others–Die Anderen_Die Anderen
Fire–Das Feuer_Die Feuer
Step–Der Schritt_Die Schritte
Blood–Das Blut_Die Blut
Fact–Die Tatsache_Die Fakten
Breath–Der Atem_Die Atem
Lip–Die Lippe_Die Lippen
Sun–Die Sonne_Die Sonnen
Building–Gebäude_Die Gebäude
Number–Die Anzahl_Die Nummern
Husband–Der Ehemann_Die Ehemänner
Parent–Das Elternteil_Die Eltern
Corner–Die Ecke_Die Ecken
Problem–Das Problem_Die Probleme
Couple–Das Ehepaar_Die Paare
Daughter–Die Tochter_Die Töchter
Bag–Der Beutel_Die Taschen
Hell–Die Hölle_Die Höllen
Rest–Die Rast_Die Reste
Business–Das Geschäft_Die Unternehmen
Sky–Der Himmel_Der Himmel
Box–Die Kiste_Die Boxs
Person–Die Person_Die Personen
Reason–Der Grund_Die Gründe
Right–Das Recht_Die Rechte
Skin–Die Haut_Die Häute
